;address;latitude;longitude;name;number;cluster
129;Shafston Ave / Thorn St;-27.476792;153.039186;131 - SHAFSTON AVE / THORN ST;131;4
130;Cordelia St / Peel St;-27.474011;153.014541;99 - CORDELIA ST / PEEL ST;99;5
131;East St / Ann St;-27.455472;153.037775;58 - EAST ST / ANN ST;58;0
132;Bridge St / Wickham St;-27.454746;153.036154;57 - BRIDGE ST / WICKHAM ST;57;0
133;Tank St / George St;-27.468678;153.019801;32 - TANK ST / GEORGE ST;32;2
134;Sydney St / Moray St;-27.471422;153.04519;86 - SYDNEY ST / MORAY ST;86;4
135;Ann St / Wharf St;-27.46383;153.029125;41 - ANN ST / WHARF ST;41;2
136;Griffith St / Riverview Ct;-27.471886;153.041854;81 - GRIFFITH ST / RIVERVIEW CT;81;4
137;Hardgrave Rd / Skinner St;-27.482082;153.006981;104 - HARDGRAVE RD / SKINNER ST;104;5
138;Makerston St / Roma St;-27.467037;153.018471;34 - MAKERSTON ST / ROMA ST;34;2
139;Bouquet St / Montague Rd;-27.471712;153.013188;128 - BOUQUET ST / MONTAGUE RD;128;5
140;Albert St Mall / Adelaide St;-27.469183;153.024719;13 - ALBERT STREET MALL / ADELAIDE STREET;13;2
141;Roma St / Garrick St;-27.466307;153.017351;36 - ROMA STREET / GARRICK STREET;36;2
142;Kilroe St / Dorsey St;-27.472413;153.001803;137 - KILROE ST / DORSEY ST;137;5
143;Balfour St / Brunswick St;-27.463431;153.041031;79 - BALFOUR ST / BRUNSWICK ST;79;4
144;38 - Ann St / Creek St;-27.46588;153.026861;38 - ANN ST / CREEK ST;38;2
145;Albert St Mall / Elizabeth St;-27.47011;153.025627;14 - ALBERT STREET MALL / ELIZABETH STREET;14;2
146;Turbot St / Bowen St;-27.462665;153.029087;45 - TURBOT ST / BOWEN ST;45;2
147;Edward St / Queen St;-27.46812;153.02682;1 - EDWARD ST / QUEEN ST;1;2
148;Cordelia St / Ernest St;-27.481137;153.019284;116 - CORDELIA ST / ERNEST ST;116;1
